trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
341,False,"{'a': 0.01, 'e': 0.03304120037588693}",20,13,14.716350027128794,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.01, 'e': 0.03271243493901982}",25,12,18.560953145082312,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.01, 'e': 0.03238694077290704}",25,11,10.344389700347307,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
344,False,"{'a': 0.01, 'e': 0.03206468532786077}",25,0,35.28315973241986,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
345,False,"{'a': 0.01, 'e': 0.03174563637806794}",30,18,21.091830113230777,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.01, 'e': 0.03142976201836771}",30,0,44.64541749786234,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
347,False,"{'a': 0.01, 'e': 0.03111703066106086}",25,13,21.127755947581694,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.01, 'e': 0.030807411032751076}",30,15,29.33874679130369,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.01, 'e': 0.030500872171217483}",20,11,15.090202598875058,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.01, 'e': 0.0301973834223185}",35,15,33.762995504055866,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.01, 'e': 0.029896914436926308}",20,1,32.43894743712054,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.01, 'e': 0.029599435167892}",25,2,29.015665479472542,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
353,False,"{'a': 0.01, 'e': 0.029304915867040746}",25,13,23.477748808002914,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.01, 'e': 0.029013327082197053}",20,16,6.450285604329101,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.01, 'e': 0.028724639654239423}",35,16,12.733073672979632,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
356,False,"{'a': 0.01, 'e': 0.028438824714184505}",25,14,17.2234334516287,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.01, 'e': 0.028155853680300096}",20,12,18.441207699414743,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.01, 'e': 0.027875698255247015}",20,7,19.783622975323482,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.01, 'e': 0.027598330423249287}",20,12,11.503884206647012,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.01, 'e': 0.02732372244729256}",30,12,-10.412914442608859,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
361,False,"{'a': 0.01, 'e': 0.027051846866350416}",20,6,18.321039015487283,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.01, 'e': 0.026782676492638175}",20,15,8.720410719631722,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.01, 'e': 0.02651618440889418}",20,13,-10.777838057207006,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
364,False,"{'a': 0.01, 'e': 0.02625234396568796}",20,9,15.381046072439112,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.01, 'e': 0.025991128778755347}",20,10,19.829029325541104,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.01, 'e': 0.02573251272635994}",25,7,29.236944277032197,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.01, 'e': 0.025476469946681016}",25,0,32.063450503786726,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
368,False,"{'a': 0.01, 'e': 0.025222974835227212}",25,7,29.135717123647634,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.01, 'e': 0.024972002042276155}",30,3,39.15432676995733,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.01, 'e': 0.024723526470339388}",25,5,7.513637091252849,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
371,False,"{'a': 0.01, 'e': 0.02447752327165267}",20,7,21.599525610671026,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.01, 'e': 0.024233967845691113}",25,20,10.490919037774727,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.01, 'e': 0.023992835836709175}",25,18,-1.7459652132720742,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
374,False,"{'a': 0.01, 'e': 0.023754103131304997}",30,5,41.3267178747942,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.01, 'e': 0.023517745856009107}",25,8,23.387530117691174,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.01, 'e': 0.023283740374897}",20,9,19.12227410690131,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.01, 'e': 0.02305206328722557}",20,0,20.620940624026787,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
378,False,"{'a': 0.01, 'e': 0.02282269142509297}",30,14,27.92038071863722,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.01, 'e': 0.022595601851121864}",20,2,21.367986263173037,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
